candidate_id,candidate_name,congbio_id,congbio_name,congbio_birthyear,congbio_deathyear,congbio_url
AD0021,"Avery, David",NA,NA,NA,NA,NA
AD0022,"Adams, Daniel",NA,NA,NA,NA,NA
AD0027,"Abbott, David",NA,NA,NA,NA,NA
AD0034,"Ambler, David",NA,NA,NA,NA,NA
AD0058,"Adams, Daniel",NA,NA,NA,NA,NA
AD0059,"Atkinson, Daniel C.",NA,NA,NA,NA,NA
AD0069,"Akin, Daniel",NA,NA,NA,NA,NA
AE0001,"Allen, Elisha",NA,NA,NA,NA,NA
AE0015,"Abbot, Edmund",NA,NA,NA,NA,NA
AE0016,"Ashman, Eli P.",A000317,"Ashmun, Eli Porter",1770,1819,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000317
AE0020,"Andrews, Elnathan",NA,NA,NA,NA,NA
AE0021,"Arnold, Elisha",NA,NA,NA,NA,NA
AE0024,"Alexander, Evan",A000092,"Alexander, Evan Shelby",1767,1809,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000092
AE0031,"Alcord, Elijah",NA,NA,NA,NA,NA
AE0042,"Allen, Ethan B.",NA,NA,NA,NA,NA
AE0045,"Andrews, Eli",NA,NA,NA,NA,NA
AE0051,"Allen, Elihu",NA,NA,NA,NA,NA
AE0052,"Allbe, Ellery",NA,NA,NA,NA,NA
AF0004,"Ames, Fisher",A000174,"Ames, Fisher",1758,1808,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000174
AG0024,"Abeel, Garret",NA,NA,NA,NA,NA
AG0026,"Andrus, George",NA,NA,NA,NA,NA
AG0038,"Aldrich, George",NA,NA,NA,NA,NA
AG0040,"Armstrong, George",NA,NA,NA,NA,NA
AH0008,"Ashley, Henry",A000313,"Ashley, Henry",1778,1829,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000313
AH0009,"Allen, Horace",NA,NA,NA,NA,NA
AH0011,"Alexander, Hugh",NA,NA,NA,NA,NA
AH0032,"Allen, Herman",A000122,"Allen, Heman (Of Colchester)",1779,1852,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000122
AH0034,"Allen, Heman",NA,NA,NA,NA,NA
AH0037,"Allen, Hezekiah P.",NA,NA,NA,NA,NA
AH0040,"Allen, Henry",NA,NA,NA,NA,NA
AI0011,"Abercrombie, Isaac",NA,NA,NA,NA,NA
AI0012,"Anderson, Isaac",A000191,"Anderson, Isaac",1760,1838,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000191
AI0013,"Adams, Isaac",NA,NA,NA,NA,NA
AI0014,"Anthony, Israel",NA,NA,NA,NA,NA
AI0019,"Ackerman, Isaac",NA,NA,NA,NA,NA
AI0020,"Aiken, Isaac",NA,NA,NA,NA,NA
AI0021,"Allen, Irad",NA,NA,NA,NA,NA
AI0024,"Andruss, Isaac",NA,NA,NA,NA,NA
AI0025,"Allen, Ira",NA,NA,NA,NA,NA
AI0028,"Avery, Isaac",NA,NA,NA,NA,NA
AJ0006,"Allen, John",A000129,"Allen, John",1763,1812,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000129
AJ0012,"Armstrong, John",NA,NA,NA,NA,NA
AJ0015,"Armstrong, James",A000280,"Armstrong, James",1748,1828,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000280
AJ0025,"Anderson, John",A000193,"Anderson, John",1792,1853,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000193
AJ0028,"Allen, John",NA,NA,NA,NA,NA
AJ0029,"Abbott, Joel",A000003,"Abbot, Joel",1776,1826,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000003
AJ0030,"Adams, John",NA,NA,NA,NA,NA
AJ0043,"Adams, John Quincy",A000041,"Adams, John Quincy",1767,1848,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000041
AJ0045,"Adams, Joseph",NA,NA,NA,NA,NA
AJ0047,"Adair, John",A000026,"Adair, John",1757,1840,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000026
AJ0048,"Ayer, James, Jr.",NA,NA,NA,NA,NA
AJ0069,"Andrews, Joseph",NA,NA,NA,NA,NA
AJ0075,"Archer, John",A000272,"Archer, John",1741,1810,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000272
AJ0081,"Austin, James T.",NA,NA,NA,NA,NA
AJ0082,"Atwater, John",NA,NA,NA,NA,NA
AJ0086,"Allyn, John",NA,NA,NA,NA,NA
AJ0087,"Arms, Jonathan",NA,NA,NA,NA,NA
AJ0092,"Ayers, Joseph",NA,NA,NA,NA,NA
AJ0113,"Allen, Joseph",A000136,"Allen, Joseph",1749,1827,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000136
AJ0119,"Allen, Joseph",NA,NA,NA,NA,NA
AJ0153,"Armstrong, James F.",NA,NA,NA,NA,NA
AJ0157,"Ackerman, James",NA,NA,NA,NA,NA
AJ0164,"Arnold, Jacob, Jr.",NA,NA,NA,NA,NA
AJ0177,"Arthur, John",NA,NA,NA,NA,NA
AJ0178,"Allen, John, Jr.",NA,NA,NA,NA,NA
AJ0181,"Akins, Jonathan",NA,NA,NA,NA,NA
AJ0183,"Auckmody, John J.",NA,NA,NA,NA,NA
AJ0185,"Adams, John Quincy",NA,NA,NA,NA,NA
AJ0186,"Arnold, John",NA,NA,NA,NA,NA
AJ0193,"Armstrong, John",A000282,"Armstrong, John, Jr.",1758,1843,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000282
AJ0205,"Allen, James",NA,NA,NA,NA,NA
AJ0206,"Adams, John",A000038,"Adams, John",1778,1854,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000038
AJ0207,"Avery, John H.",NA,NA,NA,NA,NA
AJ0208,"Anthon, John",NA,NA,NA,NA,NA
AJ0212,"Ashe, John B.",A000307,"Ashe, John Baptista",1748,1802,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000307
AJ0227,"Adams, John",NA,NA,NA,NA,NA
AJ0231,"Aiken, John",NA,NA,NA,NA,NA
AJ0239,"Alexander, John",A000096,"Alexander, John",1777,1848,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000096
AJ0241,"Adams, J. L.",NA,NA,NA,NA,NA
AJ0249,"Arndt, John",NA,NA,NA,NA,NA
AJ0252,"Allison, John",NA,NA,NA,NA,NA
AJ0261,"Arndt, John",NA,NA,NA,NA,NA
AJ0262,"Anderson, John",NA,NA,NA,NA,NA
AJ0264,"Atherton, John L.",NA,NA,NA,NA,NA
AJ0271,"Atwood, Joseph",NA,NA,NA,NA,NA
AJ0273,"Ayers, Joseph",NA,NA,NA,NA,NA
AJ0287,"Adams, John",NA,NA,NA,NA,NA
AJ0310,"Anderson, John",NA,NA,NA,NA,NA
AJ0323,"Atwood, John",NA,NA,NA,NA,NA
AJ0332,"Allison, James",A000157,"Allison, James, Jr.",1772,1854,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000157
AJ0370,NA,A000197,"Anderson, Joseph Inslee",1757,1837,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000197
AJ0400,"Adcock, James",NA,NA,NA,NA,NA
AL0004,"Adams, Levi",NA,NA,NA,NA,NA
AL0009,NA,A000165,"Alston, Lemuel James",1760,1836,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000165
AL0013,"Adgate, Luther",NA,NA,NA,NA,NA
AL0016,"Austin, Lewis",NA,NA,NA,NA,NA
AM0006,"Aikin, Martin A.",NA,NA,NA,NA,NA
AM0007,"Adgate, Matthew",NA,NA,NA,NA,NA
AM0013,"Alexander, Mark",A000099,"Alexander, Mark",1792,1883,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000099
AM0019,"Atwater, Moses",NA,NA,NA,NA,NA
AN0004,"Allen, Nathaniel",A000140,"Allen, Nathaniel",1780,1832,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000140
AN0006,"Alexander, Nathaniel",A000100,"Alexander, Nathaniel",1756,1808,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000100
AN0008,"Ames, Nathaniel",NA,NA,NA,NA,NA
AP0011,"Aiken, Peter",NA,NA,NA,NA,NA
AP0018,"Adams, Parmenio",A000042,"Adams, Parmenio",1776,1832,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000042
AP0028,"Arnold, Peleg",NA,NA,NA,NA,NA
AR0003,"Anderson, Richard C., Jr.",A000230,"Anderson, Richard Clough, Jr.",1788,1826,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000230
AR0014,"Amory, Rufus G.",NA,NA,NA,NA,NA
AR0015,"Anderson, Robert",NA,NA,NA,NA,NA
AR0016,"Archer, Robert H.",NA,NA,NA,NA,NA
AR0017,"Anderson, Robert",NA,NA,NA,NA,NA
AR0020,"Abeel, Reuben",NA,NA,NA,NA,NA
AR0021,"Alcock, Robert",NA,NA,NA,NA,NA
AR0022,"Ayer, Richard H.",NA,NA,NA,NA,NA
AR0025,"Atwater, Russell",NA,NA,NA,NA,NA
AR0037,"Armstrong, Robert L.",NA,NA,NA,NA,NA
AR0039,"Adel, Richard",NA,NA,NA,NA,NA
