meae_id,type,congress,state,geography,level
meae.congressional.congress19.ga.county,congressional,19,GA,county,state
meae.congressional.congress16.il.county,congressional,16,IL,county,state
meae.congressional.congress17.il.county,congressional,17,IL,county,state
meae.congressional.congress18.il.county,congressional,18,IL,county,state
meae.congressional.congress19.il.county,congressional,19,IL,county,state
meae.congressional.congress15.in.county,congressional,15,IN,county,state
meae.congressional.congress16.in.county,congressional,16,IN,county,state
meae.congressional.congress17.in.county,congressional,17,IN,county,state
meae.congressional.congress18.in.county,congressional,18,IN,county,state
meae.congressional.congress19.in.county,congressional,19,IN,county,state
meae.congressional.congress03.ky.county,congressional,3,KY,county,state
meae.congressional.congress05.ky.county,congressional,5,KY,county,state
meae.congressional.congress06.ky.county,congressional,6,KY,county,state
meae.congressional.congress07.ky.county,congressional,7,KY,county,state
meae.congressional.congress08.ky.county,congressional,8,KY,county,state
meae.congressional.congress09.ky.county,congressional,9,KY,county,state
meae.congressional.congress10.ky.county,congressional,10,KY,county,state
meae.congressional.congress11.ky.county,congressional,11,KY,county,state
meae.congressional.congress12.ky.county,congressional,12,KY,county,state
meae.congressional.congress13.ky.county,congressional,13,KY,county,state
meae.congressional.congress14.ky.county,congressional,14,KY,county,state
meae.congressional.congress15.ky.county,congressional,15,KY,county,state
meae.congressional.congress16.ky.county,congressional,16,KY,county,state
meae.congressional.congress17.ky.county,congressional,17,KY,county,state
meae.congressional.congress18.ky.county,congressional,18,KY,county,state
meae.congressional.congress19.ky.county,congressional,19,KY,county,state
meae.congressional.congress12.la.county,congressional,12,LA,county,state
meae.congressional.congress13.la.county,congressional,13,LA,county,state
meae.congressional.congress14.la.county,congressional,14,LA,county,state
meae.congressional.congress15.la.county,congressional,15,LA,county,state
meae.congressional.congress16.la.county,congressional,16,LA,county,state
meae.congressional.congress17.la.county,congressional,17,LA,county,state
meae.congressional.congress18.la.county,congressional,18,LA,county,state
meae.congressional.congress19.la.county,congressional,19,LA,county,state
meae.congressional.congress01.ma.county,congressional,1,MA,county,state
meae.congressional.congress02.ma.county,congressional,2,MA,county,state
meae.congressional.congress03.ma.county,congressional,3,MA,county,state
meae.congressional.congress04.ma.county,congressional,4,MA,county,state
meae.congressional.congress05.ma.county,congressional,5,MA,county,state
meae.congressional.congress06.ma.county,congressional,6,MA,county,state
meae.congressional.congress07.ma.county,congressional,7,MA,county,state
meae.congressional.congress08.ma.county,congressional,8,MA,county,state
meae.congressional.congress09.ma.county,congressional,9,MA,county,state
meae.congressional.congress10.ma.county,congressional,10,MA,county,state
meae.congressional.congress11.ma.county,congressional,11,MA,county,state
meae.congressional.congress12.ma.county,congressional,12,MA,county,state
meae.congressional.congress13.ma.county,congressional,13,MA,county,state
meae.congressional.congress14.ma.county,congressional,14,MA,county,state
meae.congressional.congress15.ma.county,congressional,15,MA,county,state
meae.congressional.congress16.ma.county,congressional,16,MA,county,state
meae.congressional.congress17.ma.county,congressional,17,MA,county,state
meae.congressional.congress18.ma.county,congressional,18,MA,county,state
meae.congressional.congress19.ma.county,congressional,19,MA,county,state
meae.congressional.congress01.md.county,congressional,1,MD,county,state
meae.congressional.congress02.md.county,congressional,2,MD,county,state
meae.congressional.congress03.md.county,congressional,3,MD,county,state
meae.congressional.congress04.md.county,congressional,4,MD,county,state
meae.congressional.congress05.md.county,congressional,5,MD,county,state
meae.congressional.congress06.md.county,congressional,6,MD,county,state
meae.congressional.congress07.md.county,congressional,7,MD,county,state
meae.congressional.congress08.md.county,congressional,8,MD,county,state
meae.congressional.congress09.md.county,congressional,9,MD,county,state
meae.congressional.congress10.md.county,congressional,10,MD,county,state
meae.congressional.congress11.md.county,congressional,11,MD,county,state
meae.congressional.congress12.md.county,congressional,12,MD,county,state
meae.congressional.congress13.md.county,congressional,13,MD,county,state
meae.congressional.congress14.md.county,congressional,14,MD,county,state
meae.congressional.congress15.md.county,congressional,15,MD,county,state
meae.congressional.congress16.md.county,congressional,16,MD,county,state
meae.congressional.congress17.md.county,congressional,17,MD,county,state
meae.congressional.congress18.md.county,congressional,18,MD,county,state
meae.congressional.congress19.md.county,congressional,19,MD,county,state
meae.congressional.congress17.me.county,congressional,17,ME,county,state
meae.congressional.congress18.me.county,congressional,18,ME,county,state
meae.congressional.congress19.me.county,congressional,19,ME,county,state
meae.congressional.congress17.mo.county,congressional,17,MO,county,state
meae.congressional.congress18.mo.county,congressional,18,MO,county,state
meae.congressional.congress19.mo.county,congressional,19,MO,county,state
meae.congressional.congress15.ms.county,congressional,15,MS,county,state
meae.congressional.congress16.ms.county,congressional,16,MS,county,state
meae.congressional.congress17.ms.county,congressional,17,MS,county,state
meae.congressional.congress18.ms.county,congressional,18,MS,county,state
meae.congressional.congress19.ms.county,congressional,19,MS,county,state
meae.congressional.congress02.nc.county,congressional,2,NC,county,state
meae.congressional.congress03.nc.county,congressional,3,NC,county,state
meae.congressional.congress04.nc.county,congressional,4,NC,county,state
meae.congressional.congress05.nc.county,congressional,5,NC,county,state
meae.congressional.congress06.nc.county,congressional,6,NC,county,state
meae.congressional.congress07.nc.county,congressional,7,NC,county,state
meae.congressional.congress08.nc.county,congressional,8,NC,county,state
meae.congressional.congress09.nc.county,congressional,9,NC,county,state
meae.congressional.congress10.nc.county,congressional,10,NC,county,state
meae.congressional.congress11.nc.county,congressional,11,NC,county,state
meae.congressional.congress12.nc.county,congressional,12,NC,county,state
meae.congressional.congress13.nc.county,congressional,13,NC,county,state
meae.congressional.congress14.nc.county,congressional,14,NC,county,state
meae.congressional.congress15.nc.county,congressional,15,NC,county,state
meae.congressional.congress16.nc.county,congressional,16,NC,county,state
meae.congressional.congress17.nc.county,congressional,17,NC,county,state
meae.congressional.congress18.nc.county,congressional,18,NC,county,state
meae.congressional.congress19.nc.county,congressional,19,NC,county,state
meae.congressional.congress01.nh.county,congressional,1,NH,county,state
meae.congressional.congress02.nh.county,congressional,2,NH,county,state
meae.congressional.congress03.nh.county,congressional,3,NH,county,state
meae.congressional.congress04.nh.county,congressional,4,NH,county,state
meae.congressional.congress05.nh.county,congressional,5,NH,county,state
meae.congressional.congress06.nh.county,congressional,6,NH,county,state
meae.congressional.congress08.nh.county,congressional,8,NH,county,state
meae.congressional.congress09.nh.county,congressional,9,NH,county,state
meae.congressional.congress10.nh.county,congressional,10,NH,county,state
meae.congressional.congress11.nh.county,congressional,11,NH,county,state
meae.congressional.congress12.nh.county,congressional,12,NH,county,state
meae.congressional.congress13.nh.county,congressional,13,NH,county,state
meae.congressional.congress14.nh.county,congressional,14,NH,county,state
meae.congressional.congress15.nh.county,congressional,15,NH,county,state
meae.congressional.congress16.nh.county,congressional,16,NH,county,state
meae.congressional.congress17.nh.county,congressional,17,NH,county,state
meae.congressional.congress18.nh.county,congressional,18,NH,county,state
meae.congressional.congress19.nh.county,congressional,19,NH,county,state
meae.congressional.congress01.nj.county,congressional,1,NJ,county,state
meae.congressional.congress02.nj.county,congressional,2,NJ,county,state
meae.congressional.congress03.nj.county,congressional,3,NJ,county,state
meae.congressional.congress04.nj.county,congressional,4,NJ,county,state
meae.congressional.congress05.nj.county,congressional,5,NJ,county,state
meae.congressional.congress06.nj.county,congressional,6,NJ,county,state
meae.congressional.congress07.nj.county,congressional,7,NJ,county,state
meae.congressional.congress08.nj.county,congressional,8,NJ,county,state
meae.congressional.congress09.nj.county,congressional,9,NJ,county,state
meae.congressional.congress10.nj.county,congressional,10,NJ,county,state
meae.congressional.congress11.nj.county,congressional,11,NJ,county,state
meae.congressional.congress12.nj.county,congressional,12,NJ,county,state
meae.congressional.congress13.nj.county,congressional,13,NJ,county,state
meae.congressional.congress14.nj.county,congressional,14,NJ,county,state
meae.congressional.congress15.nj.county,congressional,15,NJ,county,state
meae.congressional.congress16.nj.county,congressional,16,NJ,county,state
meae.congressional.congress17.nj.county,congressional,17,NJ,county,state
meae.congressional.congress18.nj.county,congressional,18,NJ,county,state
meae.congressional.congress19.nj.county,congressional,19,NJ,county,state
meae.congressional.congress01.ny.county,congressional,1,NY,county,state
meae.congressional.congress02.ny.county,congressional,2,NY,county,state
meae.congressional.congress03.ny.county,congressional,3,NY,county,state
meae.congressional.congress04.ny.county,congressional,4,NY,county,state
meae.congressional.congress05.ny.county,congressional,5,NY,county,state
meae.congressional.congress06.ny.county,congressional,6,NY,county,state
meae.congressional.congress07.ny.county,congressional,7,NY,county,state
meae.congressional.congress08.ny.county,congressional,8,NY,county,state
meae.congressional.congress09.ny.county,congressional,9,NY,county,state
meae.congressional.congress10.ny.county,congressional,10,NY,county,state
meae.congressional.congress11.ny.county,congressional,11,NY,county,state
meae.congressional.congress12.ny.county,congressional,12,NY,county,state
meae.congressional.congress13.ny.county,congressional,13,NY,county,state
meae.congressional.congress14.ny.county,congressional,14,NY,county,state
meae.congressional.congress15.ny.county,congressional,15,NY,county,state
meae.congressional.congress16.ny.county,congressional,16,NY,county,state
meae.congressional.congress17.ny.county,congressional,17,NY,county,state
meae.congressional.congress18.ny.county,congressional,18,NY,county,state
meae.congressional.congress19.ny.county,congressional,19,NY,county,state
meae.congressional.congress08.oh.county,congressional,8,OH,county,state
meae.congressional.congress09.oh.county,congressional,9,OH,county,state
meae.congressional.congress10.oh.county,congressional,10,OH,county,state
meae.congressional.congress11.oh.county,congressional,11,OH,county,state
meae.congressional.congress12.oh.county,congressional,12,OH,county,state
meae.congressional.congress13.oh.county,congressional,13,OH,county,state
meae.congressional.congress14.oh.county,congressional,14,OH,county,state
meae.congressional.congress15.oh.county,congressional,15,OH,county,state
meae.congressional.congress16.oh.county,congressional,16,OH,county,state
meae.congressional.congress17.oh.county,congressional,17,OH,county,state
meae.congressional.congress18.oh.county,congressional,18,OH,county,state
meae.congressional.congress19.oh.county,congressional,19,OH,county,state
meae.congressional.congress01.pa.county,congressional,1,PA,county,state
meae.congressional.congress02.pa.county,congressional,2,PA,county,state
meae.congressional.congress02.pa.county,congressional,3,PA,county,state
meae.congressional.congress04.pa.county,congressional,4,PA,county,state
meae.congressional.congress05.pa.county,congressional,5,PA,county,state
meae.congressional.congress06.pa.county,congressional,6,PA,county,state
meae.congressional.congress07.pa.county,congressional,7,PA,county,state
meae.congressional.congress08.pa.county,congressional,8,PA,county,state
meae.congressional.congress09.pa.county,congressional,9,PA,county,state
meae.congressional.congress10.pa.county,congressional,10,PA,county,state
meae.congressional.congress11.pa.county,congressional,11,PA,county,state
meae.congressional.congress12.pa.county,congressional,12,PA,county,state
meae.congressional.congress13.pa.county,congressional,13,PA,county,state
meae.congressional.congress14.pa.county,congressional,14,PA,county,state
meae.congressional.congress15.pa.county,congressional,15,PA,county,state
meae.congressional.congress16.pa.county,congressional,16,PA,county,state
meae.congressional.congress17.pa.county,congressional,17,PA,county,state
meae.congressional.congress19.pa.county,congressional,19,PA,county,state
meae.congressional.congress01.ri.county,congressional,1,RI,county,state
meae.congressional.congress02.ri.county,congressional,2,RI,county,state
meae.congressional.congress03.ri.county,congressional,3,RI,county,state
meae.congressional.congress04.ri.county,congressional,4,RI,county,state
meae.congressional.congress05.ri.county,congressional,5,RI,county,state
meae.congressional.congress06.ri.county,congressional,6,RI,county,state
meae.congressional.congress07.ri.county,congressional,7,RI,county,state
meae.congressional.congress08.ri.county,congressional,8,RI,county,state
meae.congressional.congress09.ri.county,congressional,9,RI,county,state
meae.congressional.congress10.ri.county,congressional,10,RI,county,state
meae.congressional.congress11.ri.county,congressional,11,RI,county,state
meae.congressional.congress12.ri.county,congressional,12,RI,county,state
meae.congressional.congress13.ri.county,congressional,13,RI,county,state
meae.congressional.congress14.ri.county,congressional,14,RI,county,state
meae.congressional.congress15.ri.county,congressional,15,RI,county,state
meae.congressional.congress16.ri.county,congressional,16,RI,county,state
meae.congressional.congress17.ri.county,congressional,17,RI,county,state
meae.congressional.congress18.ri.county,congressional,18,RI,county,state
meae.congressional.congress19.ri.county,congressional,19,RI,county,state
meae.congressional.congress01.sc.county,congressional,1,SC,county,state
meae.congressional.congress02.sc.county,congressional,2,SC,county,state
meae.congressional.congress03.sc.county,congressional,3,SC,county,state
meae.congressional.congress04.sc.county,congressional,4,SC,county,state
meae.congressional.congress05.sc.county,congressional,5,SC,county,state
meae.congressional.congress06.sc.county,congressional,6,SC,county,state
meae.congressional.congress07.sc.county,congressional,7,SC,county,state
meae.congressional.congress08.sc.county,congressional,8,SC,county,state
meae.congressional.congress09.sc.county,congressional,9,SC,county,state
meae.congressional.congress10.sc.county,congressional,10,SC,county,state
meae.congressional.congress11.sc.county,congressional,11,SC,county,state
meae.congressional.congress12.sc.county,congressional,12,SC,county,state
meae.congressional.congress13.sc.county,congressional,13,SC,county,state
meae.congressional.congress14.sc.county,congressional,14,SC,county,state
meae.congressional.congress15.sc.county,congressional,15,SC,county,state
meae.congressional.congress16.sc.county,congressional,16,SC,county,state
meae.congressional.congress17.sc.county,congressional,17,SC,county,state
meae.congressional.congress18.sc.county,congressional,18,SC,county,state
meae.congressional.congress19.sc.county,congressional,19,SC,county,state
meae.congressional.congress05.tn.county,congressional,5,TN,county,state
meae.congressional.congress06.tn.county,congressional,6,TN,county,state
meae.congressional.congress07.tn.county,congressional,7,TN,county,state
meae.congressional.congress08.tn.county,congressional,8,TN,county,state
meae.congressional.congress09.tn.county,congressional,9,TN,county,state
meae.congressional.congress10.tn.county,congressional,10,TN,county,state
meae.congressional.congress11.tn.county,congressional,11,TN,county,state
meae.congressional.congress12.tn.county,congressional,12,TN,county,state
meae.congressional.congress13.tn.county,congressional,13,TN,county,state
meae.congressional.congress14.tn.county,congressional,14,TN,county,state
meae.congressional.congress15.tn.county,congressional,15,TN,county,state
meae.congressional.congress16.tn.county,congressional,16,TN,county,state
meae.congressional.congress17.tn.county,congressional,17,TN,county,state
meae.congressional.congress18.tn.county,congressional,18,TN,county,state
meae.congressional.congress19.tn.county,congressional,19,TN,county,state
meae.congressional.congress01.va.county,congressional,1,VA,county,state
meae.congressional.congress02.va.county,congressional,2,VA,county,state
meae.congressional.congress03.va.county,congressional,3,VA,county,state
meae.congressional.congress04.va.county,congressional,4,VA,county,state
meae.congressional.congress05.va.county,congressional,5,VA,county,state
meae.congressional.congress06.va.county,congressional,6,VA,county,state
meae.congressional.congress07.va.county,congressional,7,VA,county,state
meae.congressional.congress08.va.county,congressional,8,VA,county,state
meae.congressional.congress09.va.county,congressional,9,VA,county,state
meae.congressional.congress10.va.county,congressional,10,VA,county,state
meae.congressional.congress11.va.county,congressional,11,VA,county,state
meae.congressional.congress12.va.county,congressional,12,VA,county,state
meae.congressional.congress13.va.county,congressional,13,VA,county,state
meae.congressional.congress14.va.county,congressional,14,VA,county,state
meae.congressional.congress15.va.county,congressional,15,VA,county,state
meae.congressional.congress16.va.county,congressional,16,VA,county,state
meae.congressional.congress17.va.county,congressional,17,VA,county,state
meae.congressional.congress18.va.county,congressional,18,VA,county,state
meae.congressional.congress19.va.county,congressional,19,VA,county,state
meae.congressional.congress02.vt.county,congressional,2,VT,county,state
meae.congressional.congress03.vt.county,congressional,3,VT,county,state
meae.congressional.congress04.vt.county,congressional,4,VT,county,state
meae.congressional.congress05.vt.county,congressional,5,VT,county,state
meae.congressional.congress06.vt.county,congressional,6,VT,county,state
meae.congressional.congress07.vt.county,congressional,7,VT,county,state
meae.congressional.congress08.vt.county,congressional,8,VT,county,state
meae.congressional.congress09.vt.county,congressional,9,VT,county,state
meae.congressional.congress11.vt.county,congressional,11,VT,county,state
meae.congressional.congress12.vt.county,congressional,12,VT,county,state
meae.congressional.congress13.vt.county,congressional,13,VT,county,state
meae.congressional.congress14.vt.county,congressional,14,VT,county,state
meae.congressional.congress15.vt.county,congressional,15,VT,county,state
meae.congressional.congress16.vt.county,congressional,16,VT,county,state
meae.congressional.congress17.vt.county,congressional,17,VT,county,state
meae.congressional.congress18.vt.county,congressional,18,VT,county,state
meae.congressional.congress19.vt.county,congressional,19,VT,county,state
