meae_id,type,congress,state,geography,level
meae.congressional.congress16.al.county,congressional,16,AL,county,state
meae.congressional.congress17.al.county,congressional,17,AL,county,state
meae.congressional.congress18.al.county,congressional,18,AL,county,state
meae.congressional.congress19.al.county,congressional,19,AL,county,state
meae.congressional.congress02.ct.county,congressional,2,CT,county,state
meae.congressional.congress03.ct.county,congressional,3,CT,county,state
meae.congressional.congress04.ct.county,congressional,4,CT,county,state
meae.congressional.congress05.ct.county,congressional,5,CT,county,state
meae.congressional.congress06.ct.county,congressional,6,CT,county,state
meae.congressional.congress07.ct.county,congressional,7,CT,county,state
meae.congressional.congress08.ct.county,congressional,8,CT,county,state
meae.congressional.congress09.ct.county,congressional,9,CT,county,state
meae.congressional.congress10.ct.county,congressional,10,CT,county,state
meae.congressional.congress11.ct.county,congressional,11,CT,county,state
meae.congressional.congress12.ct.county,congressional,12,CT,county,state
meae.congressional.congress13.ct.county,congressional,13,CT,county,state
meae.congressional.congress14.ct.county,congressional,14,CT,county,state
meae.congressional.congress15.ct.county,congressional,15,CT,county,state
meae.congressional.congress16.ct.county,congressional,16,CT,county,state
meae.congressional.congress17.ct.county,congressional,17,CT,county,state
meae.congressional.congress18.ct.county,congressional,18,CT,county,state
meae.congressional.congress19.ct.county,congressional,19,CT,county,state
meae.congressional.congress01.de.county,congressional,1,DE,county,state
meae.congressional.congress02.de.county,congressional,2,DE,county,state
meae.congressional.congress03.de.county,congressional,3,DE,county,state
meae.congressional.congress04.de.county,congressional,4,DE,county,state
meae.congressional.congress05.de.county,congressional,5,DE,county,state
meae.congressional.congress06.de.county,congressional,6,DE,county,state
meae.congressional.congress07.de.county,congressional,7,DE,county,state
meae.congressional.congress08.de.county,congressional,8,DE,county,state
meae.congressional.congress09.de.county,congressional,9,DE,county,state
meae.congressional.congress10.de.county,congressional,10,DE,county,state
meae.congressional.congress11.de.county,congressional,11,DE,county,state
meae.congressional.congress12.de.county,congressional,12,DE,county,state
meae.congressional.congress13.de.county,congressional,13,DE,county,state
meae.congressional.congress14.de.county,congressional,14,DE,county,state
meae.congressional.congress15.de.county,congressional,15,DE,county,state
meae.congressional.congress16.de.county,congressional,16,DE,county,state
meae.congressional.congress17.de.county,congressional,17,DE,county,state
meae.congressional.congress18.de.county,congressional,18,DE,county,state
meae.congressional.congress19.de.county,congressional,19,DE,county,state
meae.congressional.congress01.ga.county,congressional,1,GA,county,state
meae.congressional.congress02.ga.county,congressional,2,GA,county,state
meae.congressional.congress03.ga.county,congressional,3,GA,county,state
meae.congressional.congress04.ga.county,congressional,4,GA,county,state
meae.congressional.congress05.ga.county,congressional,5,GA,county,state
meae.congressional.congress06.ga.county,congressional,6,GA,county,state
meae.congressional.congress07.ga.county,congressional,7,GA,county,state
meae.congressional.congress08.ga.county,congressional,8,GA,county,state
meae.congressional.congress09.ga.county,congressional,9,GA,county,state
meae.congressional.congress10.ga.county,congressional,10,GA,county,state
meae.congressional.congress11.ga.county,congressional,11,GA,county,state
meae.congressional.congress12.ga.county,congressional,12,GA,county,state
meae.congressional.congress13.ga.county,congressional,13,GA,county,state
meae.congressional.congress14.ga.county,congressional,14,GA,county,state
meae.congressional.congress15.ga.county,congressional,15,GA,county,state
meae.congressional.congress16.ga.county,congressional,16,GA,county,state
meae.congressional.congress17.ga.county,congressional,17,GA,county,state
meae.congressional.congress18.ga.county,congressional,18,GA,county,state
