congbio_id,candidate_id,congbio_name,congbio_birthyear,congbio_deathyear,congbio_url
B000056,BC0064,"Baker, Caleb",1762,1849,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000056
B000060,BE0168,"Baker, Ezra",1765,NA,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000060
B000067,BJ1509,"Baker, John",NA,1823,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000067
B000084,BA0026,"Baldwin, Abraham",1754,1807,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000084
B000087,BH0142,"Baldwin, Henry",1780,1844,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000087
B000090,BJ1555,"Baldwin, John",1772,1850,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000090
B000097,BS0001,"Baldwin, Simeon",1761,1851,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000097
B000103,BW0447,"Ball, William Lee",1781,1824,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000103
B000124,BL0052,"Barber, Levi",1777,1833,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000124
B000125,BN0014,"Barber, Noyes",1781,1844,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000125
B000127,BJ1485,"Barbour, James",1775,1842,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000127
B000128,BJ1516,"Barbour, John Strode",1790,1855,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000128
B000131,BP0115,"Barbour, Philip Pendleton",1783,1841,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000131
B000137,BD0120,"Bard, David",1744,1815,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000137
B000144,BJ0499,"Barker, Joseph",1751,1815,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000144
B000161,BW0037,"Barnett, William",1761,1832,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000161
B000162,BJ0397,"Barney, John",1785,1857,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000162
B000167,BR0143,"Barnwell, Robert",1761,1814,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000167
B000181,BD0102,"Barringer, Daniel Laurens",1788,1852,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000181
B000192,BW0082,"Barry, William Taylor",1784,1835,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000192
B000195,BG0049,"Barstow, Gideon",1783,1852,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000195
B000198,BB0019,"Bartlett, Bailey",1750,1830,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000198
B000205,BI0021,"Bartlett, Ichabod",1786,1853,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000205
B000207,BJ0545,"Bartlett, Josiah, Jr.",1768,1838,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000207
B000210,BM0087,"Bartley, Mordecai",1783,1870,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000210
B000212,BD0064,"Barton, David",1783,1837,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000212
B000224,BB0099,"Bassett, Burwell",1764,1841,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000224
B000226,BR0005,"Bassett, Richard",1745,1815,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000226
B000228,BE0175,"Bateman, Ephraim",1780,1829,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000228
B000249,BJ0078,"Bayard, James Asheton, Sr.",1767,1815,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000249
B000255,BF0013,"Baylies, Francis",1783,1852,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000255
B000256,BW0156,"Baylies, William",1776,1865,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000256
B000258,BT0056,"Bayly, Thomas",1775,1829,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000258
B000260,BT0255,"Bayly, Thomas Monteagle",1775,1834,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000260
B000273,BR0094,"Beall, Reasin",1769,1843,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000273
B000282,BJ0587,"Beatty, John",1749,1826,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000282
B000301,BG0011,"Bedinger, George Michael",1756,1843,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000301
B000306,BP0045,"Beecher, Philemon",1775,1839,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000306
B000345,BS0136,"Bell, Samuel",1770,1850,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000345
B000350,BJ1369,"Bellinger, Joseph",1773,1830,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000350
B000368,BB0035,"Bennet, Benjamin",1764,1840,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000368
B000388,BE0171,"Benson, Egbert",1746,1833,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000388
B000396,BL0075,"Benton, Lemuel",1754,1818,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000396
B000398,BT0256,"Benton, Thomas Hart",1782,1858,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000398
B000413,BJ0118,"Berrien, John Macpherson",1781,1856,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000413
B000425,BS0134,"Betton, Silas",1768,1822,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000425
B000427,BS0203,"Betts, Samuel Rossiter",1787,1868,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000427
B000433,BG0012,"Bibb, George Mortimer",1776,1859,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000433
B000434,BW0000,"Bibb, William Wyatt",1781,1820,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000434
B000446,BB0057,"Bidwell, Barnabas",1763,1833,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000446
B000453,BA0106,"Bigelow, Abijah",1775,1860,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000453
B000455,BL0037,"Bigelow, Lewis",1785,1838,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000455
B000467,BT0169,"Bines, Thomas",NA,1826,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000467
B000474,BW0271,"Bingham, William",1752,1804,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000474
