congress,state,meae_id,map_date
19,DE,meae.congressional.congress19.de.county,1824-01-01
19,GA,meae.congressional.congress19.ga.county,1824-01-01
19,IL,meae.congressional.congress19.il.county,1824-01-01
19,IN,meae.congressional.congress19.in.county,1824-01-01
19,KY,meae.congressional.congress19.ky.county,1824-01-01
19,LA,meae.congressional.congress19.la.county,1824-01-01
19,MA,meae.congressional.congress19.ma.county,1824-01-01
19,MD,meae.congressional.congress19.md.county,1824-01-01
19,ME,meae.congressional.congress19.me.county,1824-01-01
19,MO,meae.congressional.congress19.mo.county,1824-01-01
19,MS,meae.congressional.congress19.ms.county,1824-01-01
19,NC,meae.congressional.congress19.nc.county,1825-01-01
19,NH,meae.congressional.congress19.nh.county,1824-01-01
19,NJ,meae.congressional.congress19.nj.county,1824-01-01
19,NY,meae.congressional.congress19.ny.county,1824-01-01
19,OH,meae.congressional.congress19.oh.county,1824-01-01
19,PA,meae.congressional.congress19.pa.county,1824-01-01
19,RI,meae.congressional.congress19.ri.county,1825-01-01
19,SC,meae.congressional.congress19.sc.county,1824-01-01
19,TN,meae.congressional.congress19.tn.county,1825-01-01
19,VA,meae.congressional.congress19.va.county,1825-01-01
19,VT,meae.congressional.congress19.vt.county,1824-01-01
