election_id,county,state,county_ahcb,county_fips,candidate,candidate_id,party,party_id,vote
al.congress.1819,Autauga,AL,als_autauga,01001,"Chambers, Henry",CH0000,NA,NA,60
al.congress.1819,Autauga,AL,als_autauga,01001,"Crowell, John",CJ0004,NA,NA,342
al.congress.1819,Autauga,AL,als_autauga,01001,NA,NA,NA,NA,0
al.congress.1819,Baldwin,AL,als_baldwin,01003,"Chambers, Henry",CH0000,NA,NA,126
al.congress.1819,Baldwin,AL,als_baldwin,01003,"Crowell, John",CJ0004,NA,NA,14
al.congress.1819,Baldwin,AL,als_baldwin,01003,NA,NA,NA,NA,0
al.congress.1819,Blount,AL,als_blount,01009,"Chambers, Henry",CH0000,NA,NA,19
al.congress.1819,Blount,AL,als_blount,01009,"Crowell, John",CJ0004,NA,NA,809
al.congress.1819,Blount,AL,als_blount,01009,NA,NA,NA,NA,0
al.congress.1819,Cahawba,AL,als_bibb,01007,"Chambers, Henry",CH0000,NA,NA,55
al.congress.1819,Cahawba,AL,als_bibb,01007,"Crowell, John",CJ0004,NA,NA,367
al.congress.1819,Cahawba,AL,als_bibb,01007,NA,NA,NA,NA,0
al.congress.1819,Clarke,AL,als_clarke,01025,"Chambers, Henry",CH0000,NA,NA,119
al.congress.1819,Clarke,AL,als_clarke,01025,"Crowell, John",CJ0004,NA,NA,701
al.congress.1819,Clarke,AL,als_clarke,01025,NA,NA,NA,NA,0
al.congress.1819,Conecuh,AL,als_conecuh,01035,"Chambers, Henry",CH0000,NA,NA,23
al.congress.1819,Conecuh,AL,als_conecuh,01035,"Crowell, John",CJ0004,NA,NA,441
al.congress.1819,Conecuh,AL,als_conecuh,01035,NA,NA,NA,NA,0
al.congress.1819,Cotaco,AL,als_morgan,01103,"Chambers, Henry",CH0000,NA,NA,203
al.congress.1819,Cotaco,AL,als_morgan,01103,"Crowell, John",CJ0004,NA,NA,406
al.congress.1819,Cotaco,AL,als_morgan,01103,NA,NA,NA,NA,0
al.congress.1819,Dallas,AL,als_dallas,01047,"Chambers, Henry",CH0000,NA,NA,19
al.congress.1819,Dallas,AL,als_dallas,01047,"Crowell, John",CJ0004,NA,NA,759
al.congress.1819,Dallas,AL,als_dallas,01047,NA,NA,NA,NA,0
al.congress.1819,Franklin,AL,als_franklin,01059,"Chambers, Henry",CH0000,NA,NA,520
al.congress.1819,Franklin,AL,als_franklin,01059,"Crowell, John",CJ0004,NA,NA,48
al.congress.1819,Franklin,AL,als_franklin,01059,NA,NA,NA,NA,0
al.congress.1819,Lauderdale,AL,als_lauderdale,01077,"Chambers, Henry",CH0000,NA,NA,431
al.congress.1819,Lauderdale,AL,als_lauderdale,01077,"Crowell, John",CJ0004,NA,NA,48
al.congress.1819,Lauderdale,AL,als_lauderdale,01077,NA,NA,NA,NA,0
al.congress.1819,Lawrence,AL,als_lawrence,01079,"Chambers, Henry",CH0000,NA,NA,760
al.congress.1819,Lawrence,AL,als_lawrence,01079,"Crowell, John",CJ0004,NA,NA,27
al.congress.1819,Lawrence,AL,als_lawrence,01079,NA,NA,NA,NA,0
al.congress.1819,Limestone,AL,als_limestone,01083,"Chambers, Henry",CH0000,NA,NA,1119
al.congress.1819,Limestone,AL,als_limestone,01083,"Crowell, John",CJ0004,NA,NA,12
al.congress.1819,Limestone,AL,als_limestone,01083,NA,NA,NA,NA,0
al.congress.1819,Madison,AL,als_madison,01089,"Chambers, Henry",CH0000,NA,NA,2382
al.congress.1819,Madison,AL,als_madison,01089,"Crowell, John",CJ0004,NA,NA,215
al.congress.1819,Madison,AL,als_madison,01089,NA,NA,NA,NA,0
al.congress.1819,Marengo,AL,als_marengo,01091,"Chambers, Henry",CH0000,NA,NA,330
al.congress.1819,Marengo,AL,als_marengo,01091,"Crowell, John",CJ0004,NA,NA,227
al.congress.1819,Marengo,AL,als_marengo,01091,NA,NA,NA,NA,2
al.congress.1819,Marion,AL,als_marion,01093,"Chambers, Henry",CH0000,NA,NA,26
al.congress.1819,Marion,AL,als_marion,01093,"Crowell, John",CJ0004,NA,NA,271
al.congress.1819,Marion,AL,als_marion,01093,NA,NA,NA,NA,0
al.congress.1819,Mobile,AL,als_mobile,01097,"Chambers, Henry",CH0000,NA,NA,80
al.congress.1819,Mobile,AL,als_mobile,01097,"Crowell, John",CJ0004,NA,NA,111
al.congress.1819,Mobile,AL,als_mobile,01097,NA,NA,NA,NA,0
al.congress.1819,Monroe,AL,als_monroe,01099,"Chambers, Henry",CH0000,NA,NA,181
al.congress.1819,Monroe,AL,als_monroe,01099,"Crowell, John",CJ0004,NA,NA,1002
al.congress.1819,Monroe,AL,als_monroe,01099,NA,NA,NA,NA,0
al.congress.1819,Montgomery,AL,als_montgomery,01101,"Chambers, Henry",CH0000,NA,NA,66
al.congress.1819,Montgomery,AL,als_montgomery,01101,"Crowell, John",CJ0004,NA,NA,663
al.congress.1819,Montgomery,AL,als_montgomery,01101,NA,NA,NA,NA,0
al.congress.1819,Saint Claire,AL,als_stclair,01115,"Chambers, Henry",CH0000,NA,NA,39
al.congress.1819,Saint Claire,AL,als_stclair,01115,"Crowell, John",CJ0004,NA,NA,477
al.congress.1819,Saint Claire,AL,als_stclair,01115,NA,NA,NA,NA,0
al.congress.1819,Shelby,AL,als_shelby,01117,"Chambers, Henry",CH0000,NA,NA,159
al.congress.1819,Shelby,AL,als_shelby,01117,"Crowell, John",CJ0004,NA,NA,208
al.congress.1819,Shelby,AL,als_shelby,01117,NA,NA,NA,NA,0
al.congress.1819,Tuscaloosa,AL,als_tuscaloosa,01125,"Chambers, Henry",CH0000,NA,NA,124
al.congress.1819,Tuscaloosa,AL,als_tuscaloosa,01125,"Crowell, John",CJ0004,NA,NA,833
al.congress.1819,Tuscaloosa,AL,als_tuscaloosa,01125,NA,NA,NA,NA,0
al.congress.1819,Washington,AL,als_washington,01129,"Chambers, Henry",CH0000,NA,NA,362
al.congress.1819,Washington,AL,als_washington,01129,"Crowell, John",CJ0004,NA,NA,200
al.congress.1819,Washington,AL,als_washington,01129,NA,NA,NA,NA,0
al.congress.1821,Autauga,AL,als_autauga,01001,"Dinsmoor, Silas",DS0001,NA,NA,2
al.congress.1821,Autauga,AL,als_autauga,01001,"Montgomery, Elizah",ME0002,NA,NA,0
al.congress.1821,Autauga,AL,als_autauga,01001,"Moore, Gabriel",MG0000,NA,NA,111
al.congress.1821,Autauga,AL,als_autauga,01001,"Owen, George W.",OG0000,NA,NA,400
al.congress.1821,Baldwin,AL,als_baldwin,01003,"Dinsmoor, Silas",DS0001,NA,NA,1
al.congress.1821,Baldwin,AL,als_baldwin,01003,"Montgomery, Elizah",ME0002,NA,NA,1
al.congress.1821,Baldwin,AL,als_baldwin,01003,"Moore, Gabriel",MG0000,NA,NA,27
al.congress.1821,Baldwin,AL,als_baldwin,01003,"Owen, George W.",OG0000,NA,NA,159
al.congress.1821,Bibb,AL,als_bibb,01007,"Dinsmoor, Silas",DS0001,NA,NA,0
al.congress.1821,Bibb,AL,als_bibb,01007,"Montgomery, Elizah",ME0002,NA,NA,0
al.congress.1821,Bibb,AL,als_bibb,01007,"Moore, Gabriel",MG0000,NA,NA,282
al.congress.1821,Bibb,AL,als_bibb,01007,"Owen, George W.",OG0000,NA,NA,222
al.congress.1821,Blount,AL,als_blount,01009,"Dinsmoor, Silas",DS0001,NA,NA,38
al.congress.1821,Blount,AL,als_blount,01009,"Montgomery, Elizah",ME0002,NA,NA,0
al.congress.1821,Blount,AL,als_blount,01009,"Moore, Gabriel",MG0000,NA,NA,603
al.congress.1821,Blount,AL,als_blount,01009,"Owen, George W.",OG0000,NA,NA,378
al.congress.1821,Clarke,AL,als_clarke,01025,"Dinsmoor, Silas",DS0001,NA,NA,23
al.congress.1821,Clarke,AL,als_clarke,01025,"Montgomery, Elizah",ME0002,NA,NA,0
al.congress.1821,Clarke,AL,als_clarke,01025,"Moore, Gabriel",MG0000,NA,NA,402
al.congress.1821,Clarke,AL,als_clarke,01025,"Owen, George W.",OG0000,NA,NA,205
al.congress.1821,Conecuh,AL,als_conecuh,01035,"Dinsmoor, Silas",DS0001,NA,NA,16
al.congress.1821,Conecuh,AL,als_conecuh,01035,"Montgomery, Elizah",ME0002,NA,NA,0
al.congress.1821,Conecuh,AL,als_conecuh,01035,"Moore, Gabriel",MG0000,NA,NA,31
