meae_id,type,congress,state,geography,level,election_id,county,county_ahcb,county_fips,candidate,candidate_id,party,vote
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.1st.1823,Carter,tns_carter,47019,"Blair, John",BJ1418,Jacksonian,302
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.1st.1823,Greene,tns_greene,47059,"Blair, John",BJ1418,Jacksonian,992
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.1st.1823,Hawkins,tns_hawkins,47073,"Blair, John",BJ1418,Jacksonian,827
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.1st.1823,Sullivan,tns_sullivan,47163,"Blair, John",BJ1418,Jacksonian,374
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.1st.1823,Washington,tns_washington,47179,"Blair, John",BJ1418,Jacksonian,855
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.1st.1823,Carter,tns_carter,47019,"Tipton, John",TJ0594,NA,295
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.1st.1823,Greene,tns_greene,47059,"Tipton, John",TJ0594,NA,601
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.1st.1823,Hawkins,tns_hawkins,47073,"Tipton, John",TJ0594,NA,575
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.1st.1823,Sullivan,tns_sullivan,47163,"Tipton, John",TJ0594,NA,939
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.1st.1823,Washington,tns_washington,47179,"Tipton, John",TJ0594,NA,625
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.2nd.1823,Blount,tns_blount,47009,"Cocke, John",CJ1064,Jacksonian,1204
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.2nd.1823,Claiborne,tns_claiborne,47025,"Cocke, John",CJ1064,Jacksonian,537
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.2nd.1823,Cocke,tns_cocke,47029,"Cocke, John",CJ1064,Jacksonian,362
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.2nd.1823,Grainger,tns_grainger,47057,"Cocke, John",CJ1064,Jacksonian,967
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.2nd.1823,Jefferson,tns_jefferson,47089,"Cocke, John",CJ1064,Jacksonian,1197
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.2nd.1823,Knox,tns_knox,47093,"Cocke, John",CJ1064,Jacksonian,1646
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.2nd.1823,Sevier,tns_sevier,47155,"Cocke, John",CJ1064,Jacksonian,558
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.3rd.1823,Anderson,tns_anderson,47001,"Dunlap, William",DW0015,NA,176
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.3rd.1823,Bledsoe,tns_bledsoe,47007,"Dunlap, William",DW0015,NA,148
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.3rd.1823,Campbell,tns_campbell,47013,"Dunlap, William",DW0015,NA,58
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.3rd.1823,Hamilton,tns_hamilton,47065,"Dunlap, William",DW0015,NA,5
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.3rd.1823,Marion,tns_marion,47115,"Dunlap, William",DW0015,NA,68
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.3rd.1823,McMinn,tns_mcminn,47107,"Dunlap, William",DW0015,NA,85
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.3rd.1823,Monroe,tns_monroe,47123,"Dunlap, William",DW0015,NA,223
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.3rd.1823,Morgan,tns_morgan,47129,"Dunlap, William",DW0015,NA,118
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.3rd.1823,Rhea,tns_rhea,47143,"Dunlap, William",DW0015,NA,92
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.3rd.1823,Roane,tns_roane,47145,"Dunlap, William",DW0015,NA,425
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.3rd.1823,Anderson,tns_anderson,47001,"Mitchell, James C.",MJ1383,Jacksonian,277
meae.congressional.congress18.tn.county,congressional,18,TN,county,state,tn.congress.3rd.1823,Bledsoe,tns_bledsoe,47007,"Mitchell, James C.",MJ1383,Jacksonian,172
