town,state,lat,lon
Alstead,New Hampshire,43.149481,-72.3614201
Amherst,New Hampshire,42.86193,-71.62402
Atkinson,New Hampshire,42.8384221,-71.1470037
Barnstead,New Hampshire,43.3389194,-71.2782381
Barrington,New Hampshire,43.2228599,-71.0470077
Boscawen,New Hampshire,43.3243931,-71.636864
Brentwood,New Hampshire,42.9780248,-71.0735503
Bridgewater,New Hampshire,43.6384067,-71.7364678
Chester,New Hampshire,42.9567525,-71.2572846
Chichester,New Hampshire,43.2492477,-71.3997909
Concord,New Hampshire,43.2324926,-71.5612523
Deerfield,New Hampshire,43.146194,-71.2164524
Dover,New Hampshire,43.1864894,-70.8836114
Dunbarton,New Hampshire,43.1025818,-71.6164615
Durham,New Hampshire,43.13424,-70.92481
Epping,New Hampshire,43.0534843,-71.0735476
Epsom,New Hampshire,43.2249396,-71.3445677
Exeter,New Hampshire,42.977138,-70.95235
Farmington,New Hampshire,43.3897609,-71.065062
Gilmanton,New Hampshire,43.4248816,-71.4138418
Greenland,New Hampshire,43.0361995,-70.8328322
Hampton,New Hampshire,42.93548,-70.8396
Hampton Falls,New Hampshire,42.9162234,-70.863811
Hanover,New Hampshire,43.70046,-72.2895
Hollis,New Hampshire,42.7425166,-71.5895344
Keene,New Hampshire,42.9534961,-72.3068771
Kensington,New Hampshire,42.9270334,-70.9439447
Lee,New Hampshire,43.122244,-71.0120127
Madbury,New Hampshire,43.1692512,-70.9239484
New Castle,New Hampshire,43.0724613,-70.7160762
New Market,New Hampshire,43.0828551,-70.9350382
New-Durham,New Hampshire,43.4367466,-71.1722886
Newington,New Hampshire,43.1000871,-70.8336668
North Hampton,New Hampshire,42.9737623,-70.8351792
Pittsfield,New Hampshire,43.3058983,-71.3242331
Portsmouth,New Hampshire,43.0605947,-70.7803481
Rochester,New Hampshire,43.2984927,-70.9770055
Rye,New Hampshire,43.0019301,-70.7695547
Sandwich,New Hampshire,43.7908703,-71.4104696
Seabrook,New Hampshire,42.8909615,-70.8655074
Somersworth,New Hampshire,43.2534762,-70.8879437
Stratham,New Hampshire,43.0228677,-70.9163873
Wakefield,New Hampshire,43.5536938,-71.0288751
Walpole,New Hampshire,43.0794944,-72.4258229
Warner,New Hampshire,43.2556568,-71.8334145
Washington,New Hampshire,43.1759107,-72.0967507
