town,state,lat,lon
Adams,New York,43.8092321,-76.0240892
Addison,New York,42.1028514,-77.2335879
Albany,New York,42.6657453,-73.7983532
Alfred,New York,42.2543333,-77.7896461
Amenia,New York,41.8492599,-73.5567918
Amesterdam,New York,42.9415923,-74.1905225
Amsterdam,New York,42.9415923,-74.1905225
Angelica,New York,42.3067345,-78.0158388
Antwerp,New York,44.1992272,-75.6068791
Arguyle,New York,43.2378519,-73.4915018
Argyle,New York,43.2378519,-73.4915018
Armenia,New York,41.8492599,-73.5567918
Arminia,New York,41.8492599,-73.5567918
Athens,New York,42.2603648,-73.8095707
Auburn,New York,42.9337096,-76.5673419
Augusta,New York,42.9747916,-75.5012871
Aurelius,New York,42.9188489,-76.7105632
Aureluis,New York,42.9188489,-76.7105632
Baelstown,New York,42.9653961,-73.8654295
Ballston,New York,42.9653961,-73.8654295
Ballstown,New York,42.9653961,-73.8654295
Bangor,New York,44.8122731,-74.3973963
Barkman Town,New York,41.6109269,-73.7129076
Batavia,New York,42.9985582,-78.1808064
Bath,New York,42.3360869,-77.3168523
Beckman,New York,41.6109269,-73.7129076
Beckmantown,New York,44.7708742,-73.4920802
Bedford,New York,41.204262,-73.6437397
Beekman,New York,41.6109269,-73.7129076
Beekmantown,New York,41.6109269,-73.7129076
Bengal,New York,43.2395135,-75.7024065
Berkshire,New York,42.3042402,-76.1865964
Berlin,New York,42.6931351,-73.3720549
Bern,New York,42.6253546,-74.1334647
Berne,New York,42.6253546,-74.1334647
Bethel,New York,41.6837659,-74.8719284
Bethleham,New York,42.5778541,-73.8183804
Bethlehem,New York,42.5778541,-73.8183804
Blenheim,New York,42.4794352,-74.4760088
Bloomfield,New York,42.8972624,-77.4214278
Blooming Grove,New York,41.4227446,-74.2047875
Bloomingrove,New York,41.4227446,-74.2047875
Bolton,New York,43.5788608,-73.6771662
Boonville,New York,43.4836801,-75.3365607
Bridgewater,New York,42.8792376,-75.2509971
Brighton,New York,43.11596,-77.57173
Bristol,New York,42.8453424,-77.424156
Briston,New York,42.1791865,-75.8533954
Broadalban,New York,43.0586846,-74.1965206
Broadalbin,New York,43.0586846,-74.1965206
Broadalkin,New York,43.0586846,-74.1965206
Brook Haven,New York,40.7792653,-72.9153827
Brookfield,New York,42.8128488,-75.3176677
Brookhaven,New York,40.7792653,-72.9153827
Brooklyn,New York,40.659806,-73.951035
Broome,New York,42.1791865,-75.8533954
Brownsville,New York,44.0070026,-75.9840923
Brownville,New York,44.0070026,-75.9840923
Brunswick,New York,42.7359115,-73.5615043
Brutus,New York,43.04844346,-76.53762817
Buffalo,New York,42.8924919,-78.8596862
Burlingnton,New York,42.7228512,-75.1254387
Burlington,New York,42.7228512,-75.1254387
Bushwick,New York,40.6944282,-73.9212858
Bushwyck,New York,40.6944282,-73.9212858
Buthwick,New York,40.6944282,-73.9212858
Butternut,New York,42.4773619,-75.3178952
Butternuts,New York,42.4773619,-75.3178952
Cairo,New York,42.2989749,-73.9984659
Caledonia,New York,42.9731175,-77.852785
Cambria,New York,43.1848992,-78.8156113
Cambridge,New York,43.0281329,-73.3812231
Camden,New York,43.3345138,-75.747964
Camilius,New York,43.039233,-76.3040965
Camillus,New York,43.039233,-76.3040965
Camp,New York,42.1345339,-73.8917982
Canaan,New York,42.4116592,-73.447175
Canadaigua,New York,42.8889987,-77.2803208
Canadaque,New York,42.8889987,-77.2803208
Canaedea,New York,42.3864542,-78.1536209
Canaedes,New York,42.3864542,-78.1536209
Canajoharie,New York,42.9056288,-74.5718073
Canajoharry,New York,42.9056288,-74.5718073
Canajohary,New York,42.9056288,-74.5718073
Canandaigua,New York,42.8889987,-77.2803208
Canandaiqua,New York,42.8889987,-77.2803208
Canandarqua,New York,42.887535,-77.2816984
Canesteo,New York,42.2703487,-77.6058225
Canisteo,New York,42.2703487,-77.6058225
Cannajoharie,New York,42.9056288,-74.5718073
Canojoharie,New York,42.9056288,-74.5718073
Canojohary,New York,42.9056288,-74.5718073
Canton,New York,42.2989749,-73.9984659
Carlisle,New York,42.7570191,-74.4456909
Carmel,New York,41.4300937,-73.6801297
Casanova,New York,42.9282682,-75.8501814
Casenovia,New York,42.9282682,-75.8501814
Cassinovia,New York,42.9282682,-75.8501814
Castle Town,New York,40.61707982,-74.10415649
Castleton,New York,40.61707982,-74.10415649
Castletown,New York,40.61707982,-74.10415649
Catham,New York,42.36207,-73.599686
Catharine's Town,New York,42.312852,-76.7846764
Catharines,New York,42.312852,-76.7846764
Catherine,New York,42.312852,-76.7846764
Catherines,New York,42.312852,-76.7846764
Cato,New York,43.1681225,-76.5729987
Catskill,New York,42.2126036,-73.8599108
Catts-Kill,New York,42.2126036,-73.8599108
Cattskill,New York,42.2126036,-73.8599108
Caughnawaga,New York,42.99159003,-74.19685364
Cazanovia,New York,42.9282682,-75.8501814
Cazenova,New York,42.9282682,-75.8501814
Cazenovia,New York,42.9282682,-75.8501814
Chaarleton,New York,42.9334089,-73.9690142
Champien,New York,43.9622893,-75.6901951
Champion,New York,43.9622893,-75.6901951
Champlaign,New York,44.9864273,-73.4465251
Champlain,New York,44.9864273,-73.4465251
Champlin,New York,44.9864273,-73.4465251
Charleston,New York,42.81958072,-74.28131104
Charlestown,New York,42.81958072,-74.28131104
Charleton,New York,42.9334089,-73.9690142
Charlston,New York,42.81958072,-74.28131104
Charlstown,New York,42.9334089,-73.9690142
Charlton,New York,42.9334089,-73.9690142
Chateagay,New York,44.9264336,-74.0796081
Chateaugay,New York,44.9264336,-74.0796081
Chateauguay,New York,44.9264336,-74.0796081
Chatham,New York,42.36207,-73.599686
Chattagua,New York,44.9264336,-74.0796081
Chattaguay,New York,44.9264336,-74.0796081
Chautaugue,New York,42.209774,-79.4668445
Chazy,New York,44.8895329,-73.4360334
Cheesecocks,New York,41.3203951,-74.1830199
Chemong,New York,42.0084073,-76.6238369
Chemung,New York,42.0084073,-76.6238369
Chemungo,New York,42.0084073,-76.6238369
Chenango,New York,42.18299553,-75.8877182
Cheningo,New York,42.18299553,-75.8877182
Cherry Valley,New York,42.7956294,-74.7532018
Chester,New York,41.3569422,-74.2769204
Chesterfield,New York,44.44407537,-73.50059509
Chile,New York,43.10399093,-77.75135994
Chili,New York,43.10399093,-77.75135994
Cicero,New York,43.1763158,-76.1141646
Cincinnatus,New York,42.5422923,-75.8957534
Claremont,New York,42.08304739,-73.82838249
Clarence,New York,42.9767255,-78.5919709
Clark's Town,New York,41.1259715,-73.959494
Clarkestown,New York,41.1259715,-73.959494
Clarks Town,New York,41.1259715,-73.959494
Clarkson,New York,43.2331655,-77.927621
Clarkstown,New York,41.1259715,-73.959494
Clavarack,New York,42.223403,-73.7351586
Claverack,New York,42.223403,-73.7351586
Claverick,New York,42.223403,-73.7351586
Clerko Town,New York,41.1259715,-73.959494
Clermont,New York,42.08304739,-73.82838249
Clinton,New York,43.0484029,-75.3785034
Cllinton,New York,43.0484029,-75.3785034
Cobelskill,New York,42.6790021,-74.4852336
Coblekill,New York,42.6790021,-74.4852336
Cobleskill,New York,42.6790021,-74.4852336
Cobus Kill,New York,42.6790021,-74.4852336
Cocksakie,New York,42.3576381,-73.8079973
Cocsacke,New York,42.3576381,-73.8079973
Coeymans,New York,42.4739705,-73.7923456
Colchester,New York,42.1603635,-75.077389
Colonie,New York,42.7208726,-73.8317359
Columbia,New York,42.93320722,-75.03773689
Columbus,New York,42.6839611,-75.3726723
Conajoharie,New York,42.9056288,-74.5718073
Concord,New York,42.5267722,-78.70193481
Conhocton,New York,42.5022907,-77.5072102
Conquest,New York,43.1211773,-76.6480028
Constable,New York,44.9292125,-74.2971311
