town,state,lat,lon
Addison,Maine,44.6184102,-67.7441645
Albany,Maine,44.3540507880106,-70.7351303100586
Alfred,Maine,43.4764994,-70.7161687
Alma,Maine,44.1061869,-69.6036567
Anson,Maine,44.7983618,-69.8892408
Arundel,Maine,43.4243008,-70.5141622
Athens,Maine,44.9231142,-69.6728296
Atkinson,Maine,45.1868588,-69.0910809
Avon,Maine,44.7889015763375,-70.2791976928711
Bakerston,Maine,44.0700737757035,-70.3131866455078
Bakerstown,Maine,44.0619329786535,-70.3097534179688
Baldwin,Maine,43.8182922,-70.7359395
Ballston,Maine,44.2151863378582,-69.5008850097656
Ballstown,Maine,44.2134638347439,-69.4974517822266
Balltown,Maine,44.2107569423413,-69.5029449462891
Beaconfield,Maine,43.3999484,-70.6846789
Belgrade,Maine,44.4681218227158,-69.8311185836792
Belmont,Maine,44.3776275,-69.111907
Berwick,Maine,43.2683199,-70.8635506
Bethel,Maine,44.4044586,-70.7898806
Bingham,Maine,45.0586793,-69.8823059
Bloomfield,Maine,44.7403931415223,-69.6979522705078
Blue Hill,Maine,44.4139662,-68.5866904
Boothbay,Maine,43.8762865,-69.6337364
Bowdoin,Maine,44.0495825,-69.9696243
Bowdoinham,Maine,44.0091821,-69.8968927
Bridgeton,Maine,44.0548021,-70.7128685
Bridgetown,Maine,44.0548021,-70.7128685
Bridgton,Maine,44.0548021,-70.7128685
Bristol,Maine,43.9359783164864,-69.4912719726563
Brooks,Maine,44.5503501,-69.120873
Brooksville,Maine,44.3469906,-68.6847872
Brownfield,Maine,43.9381275,-70.9086768
Buckfield,Maine,44.2895134,-70.3653359
Buckland,Maine,42.5584017,-72.5417613
Bucksport,Maine,44.6289696,-68.7701225
Buckston,Maine,44.6256637757436,-68.7744140625
Buckstown,Maine,44.6256637757436,-68.7661743164063
Butterfield,Maine,44.3700052894146,-70.3650283813477
Buxton,Maine,43.6378583,-70.5189422
Cambden,Maine,44.2097928,-69.0647838
Camden,Maine,44.2097928,-69.0647838
Canaan,Maine,44.7617295,-69.5614376
Cape Elisabeth,Maine,43.563696,-70.2000467
Cape Elizabeth,Maine,43.563696,-70.2000467
Carmel,Maine,44.7975688,-69.0511537
Castine,Maine,44.3888609,-68.7989582
Cherryfield,Maine,44.6072991,-67.9258366
Chesterville,Maine,44.5511745,-70.0861692
China,Maine,44.4786791,-69.5172641
Clinton,Maine,44.637828,-69.5031267
Colburnton,Maine,44.888593544801,-68.671932220459
Columbia,Maine,44.669418,-67.8039998
Corinna,Maine,44.921174,-69.2617131
Corinth,Maine,44.9861321,-68.9991802
Cornish,Maine,43.8047977,-70.8011731
Cornville,Maine,44.8367272,-69.6731067
Coxhall,Maine,43.5229124310401,-70.6153106689453
Cushing,Maine,44.0137798,-69.2614502
Danville,Maine,44.0222964,-70.2656097
Davistown,Maine,45.0872748,-70.7856241
Dearborn,Maine,44.5635665256019,-69.7899627685547
Deer Island,Maine,44.2245068,-68.6777806
